"relative_path","size_bytes","last_write_time"
"EXP3\excel\exp3_vs_physician_underlying_level2_age_group_percent_point_delta_adult.csv","1229","13/07/2026 13:05:20"
"EXP3\excel\exp3_vs_physician_underlying_level2_age_group_percent_point_delta_child.csv","1034","13/07/2026 13:05:21"
"EXP3\excel\exp3_vs_physician_underlying_level2_age_group_percent_point_delta_infant.csv","281","13/07/2026 13:05:21"
"EXP3\excel\exp3_vs_physician_underlying_level2_age_group_percent_point_delta_overall.csv","2270","11/07/2026 12:21:57"
"EXP3\excel\exp3_vs_physician_underlying_level3_age_group_percent_point_delta_adult.csv","2541","13/07/2026 13:05:21"
"EXP3\excel\exp3_vs_physician_underlying_level3_age_group_percent_point_delta_child.csv","1985","13/07/2026 13:05:21"
"EXP3\excel\exp3_vs_physician_underlying_level3_age_group_percent_point_delta_infant.csv","435","13/07/2026 13:05:21"
"EXP3\excel\exp3_vs_physician_underlying_level3_age_group_percent_point_delta_overall.csv","4343","11/07/2026 12:21:58"
"EXP4\charts\exp4_underlying_level1_distribution_stacked_bar_adults.svg","7220","11/07/2026 12:21:46"
"EXP4\charts\exp4_underlying_level1_distribution_stacked_bar_children.svg","7159","11/07/2026 12:21:46"
"EXP4\charts\exp4_underlying_level1_distribution_stacked_bar_infants.svg","4206","11/07/2026 12:21:46"
"EXP4\charts\exp4_underlying_level1_distribution_stacked_bar_overall.svg","11447","11/07/2026 12:21:46"
"EXP4\charts\exp4_underlying_level2_age_group_heatmap_adult.svg","56065","13/07/2026 13:04:28"
"EXP4\charts\exp4_underlying_level2_age_group_heatmap_child.svg","51384","13/07/2026 13:04:28"
"EXP4\charts\exp4_underlying_level2_age_group_heatmap_infant.svg","13237","13/07/2026 13:04:29"
"EXP4\charts\exp4_underlying_level2_age_group_heatmap_overall.svg","145400","13/07/2026 13:04:28"
"EXP4\charts\exp4_underlying_level3_age_group_heatmap_adult.svg","112225","13/07/2026 13:04:29"
"EXP4\charts\exp4_underlying_level3_age_group_heatmap_child.svg","77562","13/07/2026 13:04:29"
"EXP4\charts\exp4_underlying_level3_age_group_heatmap_infant.svg","16747","13/07/2026 13:04:29"
"EXP4\charts\exp4_underlying_level3_age_group_heatmap_overall.svg","252240","13/07/2026 13:04:29"
"EXP4\charts\exp4_vs_physician_underlying_level2_age_group_delta_heatmap_adult.svg","44489","13/07/2026 13:05:21"
"EXP4\charts\exp4_vs_physician_underlying_level2_age_group_delta_heatmap_child.svg","38088","13/07/2026 13:05:21"
"EXP4\charts\exp4_vs_physician_underlying_level2_age_group_delta_heatmap_infant.svg","11235","13/07/2026 13:05:21"
"EXP4\charts\exp4_vs_physician_underlying_level2_age_group_delta_heatmap_overall.svg","100419","11/07/2026 12:21:58"
"EXP4\charts\exp4_vs_physician_underlying_level3_age_group_delta_heatmap_adult.svg","86598","13/07/2026 13:05:21"
"EXP4\charts\exp4_vs_physician_underlying_level3_age_group_delta_heatmap_child.svg","65660","13/07/2026 13:05:21"
"EXP4\charts\exp4_vs_physician_underlying_level3_age_group_delta_heatmap_infant.svg","14658","13/07/2026 13:05:21"
"EXP4\charts\exp4_vs_physician_underlying_level3_age_group_delta_heatmap_overall.svg","177432","11/07/2026 12:21:58"
"EXP4\charts\figure_exp4_vs_phy_confusion_bubble_underlying_level2.svg","14195","15/07/2026 10:29:00"
"EXP4\charts\figure_exp4_vs_phy_csmf_difference_bars_level2_overall.svg","7194","15/07/2026 10:29:00"
"EXP4\code\create_level1_distribution_charts.py","11613","11/07/2026 12:20:51"
"EXP4\code\create_physician_level2_age_heatmap.py","18281","13/07/2026 13:00:56"
"EXP4\excel\exp4_underlying_level1_distribution_counts_adults.csv","198","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level1_distribution_counts_children.csv","201","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level1_distribution_counts_infants.csv","156","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level1_distribution_counts_overall.csv","320","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level1_distribution_percent_adults.csv","240","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level1_distribution_percent_children.csv","265","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level1_distribution_percent_infants.csv","169","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level1_distribution_percent_overall.csv","427","11/07/2026 12:21:46"
"EXP4\excel\exp4_underlying_level2_age_group_counts_adult.csv","1576","13/07/2026 13:04:28"
"EXP4\excel\exp4_underlying_level2_age_group_counts_child.csv","1359","13/07/2026 13:04:28"
"EXP4\excel\exp4_underlying_level2_age_group_counts_infant.csv","870","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level2_age_group_counts_overall.csv","2534","13/07/2026 13:04:28"
"EXP4\excel\exp4_underlying_level2_age_group_percent_within_age_adult.csv","1921","13/07/2026 13:04:28"
"EXP4\excel\exp4_underlying_level2_age_group_percent_within_age_child.csv","1695","13/07/2026 13:04:28"
"EXP4\excel\exp4_underlying_level2_age_group_percent_within_age_infant.csv","933","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level2_age_group_percent_within_age_overall.csv","3457","13/07/2026 13:04:28"
"EXP4\excel\exp4_underlying_level3_age_group_counts_adult.csv","5583","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level3_age_group_counts_child.csv","3684","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level3_age_group_counts_infant.csv","1936","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level3_age_group_counts_overall.csv","7310","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level3_age_group_percent_within_age_adult.csv","6262","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level3_age_group_percent_within_age_child.csv","4174","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level3_age_group_percent_within_age_infant.csv","2012","13/07/2026 13:04:29"
"EXP4\excel\exp4_underlying_level3_age_group_percent_within_age_overall.csv","8888","13/07/2026 13:04:29"
"EXP4\excel\exp4_vs_physician_underlying_level2_age_group_percent_point_delta_adult.csv","1161","13/07/2026 13:05:21"
"EXP4\excel\exp4_vs_physician_underlying_level2_age_group_percent_point_delta_child.csv","978","13/07/2026 13:05:21"
"EXP4\excel\exp4_vs_physician_underlying_level2_age_group_percent_point_delta_infant.csv","331","13/07/2026 13:05:21"
"EXP4\excel\exp4_vs_physician_underlying_level2_age_group_percent_point_delta_overall.csv","2334","11/07/2026 12:21:58"
"EXP4\excel\exp4_vs_physician_underlying_level3_age_group_percent_point_delta_adult.csv","2414","13/07/2026 13:05:21"
"EXP4\excel\exp4_vs_physician_underlying_level3_age_group_percent_point_delta_child.csv","1785","13/07/2026 13:05:21"
"EXP4\excel\exp4_vs_physician_underlying_level3_age_group_percent_point_delta_infant.csv","500","13/07/2026 13:05:21"
"EXP4\excel\exp4_vs_physician_underlying_level3_age_group_percent_point_delta_overall.csv","4302","11/07/2026 12:21:58"
"FILE_MANIFEST.csv","0","19/08/2026 01:52:43"
"index.html","25984","19/08/2026 01:52:21"
"inputs\INPUT_FILES.md","761","18/08/2026 07:23:58"
"jaccard\charts\figure_jaccard_contributory_vs_phy_heatmap.svg","14005","11/07/2026 12:21:38"
"jaccard\charts\figure_jaccard_flexible_pooled_any_type_heatmap.svg","13998","11/07/2026 12:21:38"
"jaccard\charts\figure_jaccard_flexible_pooled_level2_distribution.svg","7380","11/07/2026 12:21:38"
"jaccard\charts\figure_jaccard_level2_pooled_distribution_adult.svg","6907","11/07/2026 12:21:37"
"jaccard\charts\figure_jaccard_level2_pooled_distribution_child.svg","6761","11/07/2026 12:21:37"
"jaccard\charts\figure_jaccard_level2_pooled_distribution_infant.svg","6306","11/07/2026 12:21:37"
"jaccard\code\calculate_jaccard_similarity.py","9444","10/07/2026 15:24:44"
"jaccard\code\create_jaccard_by_vatype_distributions.py","5378","11/07/2026 12:17:45"
"jaccard\code\create_jaccard_charts.py","6593","11/07/2026 12:17:47"
"jaccard\excel\flexible_level2_jaccard_by_vatype_single_table.csv","635","13/07/2026 06:31:25"
"jaccard\excel\jaccard_level2_pooled_distribution_by_vatype.csv","2796","10/08/2026 09:00:56"
"jaccard\excel\jaccard_level2_pooled_summary_by_vatype.csv","592","10/08/2026 09:01:00"
"jaccard\excel\jaccard_similarity_summary.csv","26844","10/07/2026 15:25:48"
"README.md","2742","19/08/2026 01:52:32"
